City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,touros,-5.1989,-35.4608,26.17,80,23,3.29,BR,1679698785
84,altay,47.8667,88.1167,-4.93,61,0,3.45,CN,1679699039
85,waingapu,-9.6567,120.2641,26.48,83,89,1.05,ID,1679699039
86,severo-kurilsk,50.6789,156.125,-4.85,81,99,15.99,RU,1679699040
87,greenfield,42.9614,-88.0126,5.01,60,75,6.69,US,1679699040
88,hofn,64.2539,-15.2082,-2.0,68,100,8.61,IS,1679699041
89,guerrero negro,27.9769,-114.0611,16.52,55,0,10.54,MX,1679699041
90,upernavik,72.7868,-56.1549,-27.21,93,24,1.27,GL,1679699042
91,okhotsk,59.3833,143.3,-19.1,72,0,8.15,RU,1679699042
92,chase,50.8165,-119.6857,7.86,61,99,1.59,CA,1679699043
93,cidreira,-30.1811,-50.2056,23.58,85,39,5.0,BR,1679699044
94,sitka,57.0531,-135.33,5.68,71,61,0.46,US,1679699044
95,atikokan,48.7555,-91.6216,0.75,86,7,2.54,CA,1679699045
96,boueni,-12.9025,45.0761,27.99,73,83,2.21,YT,1679699046
97,vila,42.0304,-8.1588,4.49,86,2,1.28,PT,1679699047
98,plouzane,48.3833,-4.6167,10.1,79,75,10.29,FR,1679699047
99,castro,-24.7911,-50.0119,19.52,86,52,0.49,BR,1679699048
100,erdenet,49.0333,104.0833,-17.21,91,12,1.57,MN,1679699048
101,barrow,71.2906,-156.7887,-13.99,78,100,6.17,US,1679699049
102,port macquarie,-31.4333,152.9167,23.83,85,58,1.63,AU,1679699050
103,vestmannaeyjar,63.4427,-20.2734,0.17,54,98,1.94,IS,1679698772
104,iskateley,67.6803,53.1512,-23.49,100,68,2.18,RU,1679699051
105,metaxades,41.4204,26.225,8.88,83,48,0.95,GR,1679699052
106,flinders,-34.5833,150.8552,20.77,91,99,0.89,AU,1679699052
107,puerto ayora,-0.7393,-90.3518,29.98,92,68,1.79,EC,1679699053
108,camopi,3.1655,-52.3158,22.3,99,100,1.25,GF,1679699053
109,okha,53.5739,142.9478,-9.64,83,92,6.61,RU,1679699054
110,damietta,31.4165,31.8133,16.94,77,100,3.13,EG,1679699055
111,nanortalik,60.1432,-45.2371,-3.09,85,100,2.89,GL,1679699056
112,chokurdakh,70.6333,147.9167,-28.67,99,59,2.52,RU,1679699057
113,kaitangata,-46.2817,169.8464,11.62,95,100,3.01,NZ,1679699058
114,erzin,36.9559,36.2,14.65,82,100,3.08,TR,1679699059
115,baculin,7.4525,126.5842,26.85,81,100,3.37,PH,1679699059
116,avarua,-21.2078,-159.775,29.03,79,98,5.14,CK,1679699060
117,kushmurun,52.4503,64.6311,0.71,96,98,5.02,KZ,1679699061
118,andenes,69.3143,16.1194,-3.37,74,75,3.09,NO,1679698996
119,saskylakh,71.9167,114.0833,-15.38,88,85,5.33,RU,1679699063
120,longyearbyen,78.2186,15.6401,-16.09,72,20,2.06,SJ,1679698995
121,bambous virieux,-20.3428,57.7575,24.56,88,20,1.54,MU,1679699063
122,saint-pierre,-21.3393,55.4781,23.82,73,0,2.57,RE,1679698499
123,vallenar,-28.5708,-70.7581,22.17,63,0,2.27,CL,1679698947
124,kruisfontein,-34.0033,24.7314,22.57,72,100,3.69,ZA,1679699065
125,tiznit,29.5833,-9.5,20.87,21,0,0.44,MA,1679699065
126,itarema,-2.9248,-39.9167,25.36,83,99,2.91,BR,1679699066
127,bollnas,61.3482,16.3946,-1.92,92,100,3.66,SE,1679699067
128,talnakh,69.4865,88.3972,-18.05,98,100,2.93,RU,1679699067
129,cap malheureux,-19.9842,57.6142,24.7,80,41,0.45,MU,1679699068
130,hailar,49.2,119.7,-21.47,97,73,1.57,CN,1679699069
131,provideniya,64.3833,-173.3,-16.43,83,30,2.33,RU,1679699070
132,beringovskiy,63.05,179.3167,-16.34,82,100,5.09,RU,1679699070
133,norrtalje,59.758,18.705,4.45,95,100,4.82,SE,1679699071
134,jumla,29.2747,82.1838,5.11,81,57,1.86,NP,1679698955
135,morondava,-20.2833,44.2833,25.55,82,21,2.54,MG,1679699072
